마음은 벌써 고향에	추석 명절을 고향에서 보내려는 귀성가족이 28일 서울 반포동 고속버스 터미널에서 고향으로 가는 버스를 기다리고 있다.	https://sports.news.naver.com/news.nhn?oid=421&aid=0000000002	2012.09.28
추석 인사하는 안철수 후보	안철수 무소속 대선후보가 28일 오후 서울 반포 고속터미널을 찾아 귀성객들과 인사를 나누고 있다.	https://sports.news.naver.com/news.nhn?oid=421&aid=0000000003	2012.09.28
유럽환율 9월 28일 GMT 오전 5시 현재		https://sports.news.naver.com/news.nhn?oid=421&aid=0000000004	2012.09.28
세계환율 9월 28일 GMT 오전 5시 현재		https://sports.news.naver.com/news.nhn?oid=421&aid=0000000005	2012.09.28
안철수의 인사	안철수 무소속 대선후보가 28일 오후 서울 반포 고속터미널을 찾아 귀성객들과 인사를 나누고 있다.	https://sports.news.naver.com/news.nhn?oid=421&aid=0000000006	2012.09.28
추석 연휴 민족 대이동 시작…고속도로 정체 증가세	서울 뉴스1 이후민 기자 예년에 비해 추석 연휴가 짧아지면서 연휴 하루 전인 28일부터 귀성을 서두르는 차량이 늘고 있다. 국토해양부는 이번 추석 연휴에는 2925만여명이 귀성길에 나설 것으로 전망했다. 한국도로공사에 따르면 오후 1시20분 기준으로 18만814대 차량이 수도권을 빠져나갔고 이날 하루 수도권을 빠져나가는 차량은 모두 45만3000대로 전망했다. 또 고속도로 전체 통행량은 약 400만대에 이를 것으로 내다봤다. 추석 연휴기간 고속도로를 이용하는 차량은 전국적으로 하루 평균 374만대에 달할 것으로 보인다. 추석 당일인 30일에는 최대 467만대 차량이 고속도로를 이용할 것으로 예상하고 있다. 한국도로공사 관계자는 28일 오후 경부고속도로를 시작으로 점차 정체가 확산돼 밤 늦은 시간까지 높은 수준의 정체를 유지할 예정 이라며 29일 새벽 잠시 주춤했다가 다시 이날 이른 아침부터 차량이 증가할 것으로 보인다 고 밝혔다. 예상 주요 혼잡 구간은 경부고속도로 동탄 천안 서해안고속도로 비봉 서평택 등으로 예상된다. 한국도로공사에 따르면 경부고속도로는 100㎞ 이상 정체가 일어날 가능성도 있다. 서울에서 주요 도시간 귀성길 소요 예상시간은 부산 5시간50분 대전 2시간50분 광주 4시간30분 강릉 3시간10분 목포 4시간50분 등이다. 한국도로공사는 28일 10월3일을 추석 연휴 특별교통대책기간으로 정해 교통예보팀을 강화 운영하고 콜센터 1588 2504 에 일일 90명 정도의 상담원을 배치했다. 교통정보 어플리케이션 고속도로교통정보 와 한국도로공사 홈페이지 ex.co.kr 로드플러스 홈페이지 roadplus.co.kr 등에서 교통정보를 실시간으로 확인할 수 있다. 한편 코레일은 철도를 이용해 고향으로 향하는 시민들을 위해 일부 증편 운행한다. 코레일은 추석 연휴기간 동안 총 273만7000여명이 철도를 이용할 것으로 내다봤다. 하루 평균 45만6000명이 이용해 평소 주말보다 약 13.4% 증가할 전망이다. 이에 따라 추석 연휴기간 동안 열차 운행을 하루 평균 71회 증편했다. 코레일은 KTX와 누리로 철도의 예비편성을 활용해 추석 연휴 기간 동안 임시철도를 총 62회 추가 운행한다고 밝혔다. KTX는 서울 부산 용산 광주 등 구간에 2회에서 최대 6회까지 총 42회를 추가 운행한다. 누리로는 서울 대전 용산 광주 등 구간에 2회에서 최대 4회까지 집중 운행하는 등 총 20회를 추가 운행한다. 코레일 관계자는 역귀성을 위해 철도를 이용하는 경우 부분적으로 좌석이 있지만 이 역시 대부분 매진된 상태 라고 밝혔다.	https://sports.news.naver.com/news.nhn?oid=421&aid=0000000007	2012.09.28
피치 美 재정절벽이 발생하면 글로벌 성장률 반토막 날 것	로이터 뉴스1 윤태형 기자 미국에서 재정절벽 이 발생할 경우 내년도 세계경제 성장률이 절반으로 감소할 것이라고 국제 신용평가사 피치가 27일 현지시간 밝혔다. 피치는 보고서에서 재정절벽으로 인해 미국과 세계경제는 침체로 접어들 가능성이 높다고 강조했다. 피치는 미국의 재정절벽은 글로벌 경제회복에 있어 가장 큰 단기 위험을 대표한다 고 말했다. 피치는 전면적인 재정감축이 최상의 시나리오가 아니라고 강조했다. 전면적인 재정감축의 속도와 범위는 미국 경제를 침체로 몰고갈 수 있다고 강조했다. 피치는 재정절벽이 발생할 경우 미국의 내년도 국내총생산 GDP 성장률이 현재 전망치인 2.3%에서 2% 낮은 0.3%를 기록할 것으로 분석했다. 이어 피치는 “재정절벽 충격으로 내년 세계 GDP 성장률도 1.3%로 반토막 날 수 있다”고 우려했다. 재정절벽 fiscal cliff 이란 내년 1월1일부터 예산안 자동삭감과 2001년 도입한 감세혜택이 종료되면서 미국 재정지출이 대규모 감소 재정이 바닥을 드러내는 상황을 말한다. 재정절벽이 현실화될 경우 미국의 재정지출 적자는 2012년 회계연도와 2013년 회계년도 사이에 6070억 달러가 자동적으로 줄어들게 된다.	https://sports.news.naver.com/news.nhn?oid=421&aid=0000000008	2012.09.28
검찰 ′저축은행 금품수수′ 박지원 불구속 기소	대검 중앙수사부 저축은행비리 합동수사단 최운식 단장이 28일 오후 서울 서초동 서울고검에서 4차 저축은행비리 수사결과를 발표하고 있다. 합동수사단은 박 원내대표를 특가법상 알선수재 및 정치자금법 위반 혐의로 불구속 기소했다고 밝혔다.	https://sports.news.naver.com/news.nhn?oid=421&aid=0000000009	2012.09.28
검찰 저축은행 비리 사건 수사 결과 발표	대검 중앙수사부 저축은행비리 합동수사단 최운식 단장이 28일 오후 서울 서초동 서울고검에서 4차 저축은행비리 수사결과를 발표하고 있다. 합동수사단은 박 원내대표를 특가법상 알선수재 및 정치자금법 위반 혐의로 불구속 기소했다고 밝혔다.	https://sports.news.naver.com/news.nhn?oid=421&aid=0000000010	2012.09.28
이화여대 의학전문대학원 수시모집 최종합격자 발표	서울 뉴스1 오기현 기자 2013학년도 이화여자대학교 의학전문대학원 수시모집 의무석사과정 M.D.과정 합격자 명단이 28일 발표됐다. 최종합격자는 총 46명 일반전형 43명 특별전형 3명 으로 합격자 가운데 생물학 전공 출신이 가장 많은 것으로 나타났다. 합격자 명단은 의학전문대학원 홈페이지 www.ewhamed.ac.kr 에서 확인할 수 있다. 한편 2013학년도 의무석사과정 정시모집 원서 접수는 오는 10월9일부터 11일까지 진행된다.	https://sports.news.naver.com/news.nhn?oid=421&aid=0000000011	2012.09.28
